itemcode,item,in blocks,metrics,price per unit,currency,fees,volume from,volume to
*,Cloud - Applications,,,,,,,
**,Cloud - Business Transformation Management,,,,,,,
8014071,"SAP Convergent Mediation by DigitalRoute, private cloud edition","5,54,35,000",Revenue and Expense,"1,663.00",USD,Month,121,Infinite
8014593,"SAP Access Control Cloud, extra stack, additional non-productive tier, private edition (XS)",1,Tenant,"10,591.00",USD,Month,1,Infinite
8014594,"SAP Access Control Cloud, extra stack, additional non-productive tier, private edition (M)",1,Tenant,"14,801.00",USD,Month,1,Infinite
8014602,"SAP Access Control Cloud, extra stack, additional non-productive tier, private edition (S)",1,Tenant,"11,960.00",USD,Month,1,Infinite
8014612,"SAP Access Control Cloud, extra stack, additional non-productive tier, private edition (XL)",1,Tenant,"20,958.00",USD,Month,1,Infinite
8015436,"SAP Access Violation Management by Pathlock, risk assessment cloud edition",100,Resource,571,USD,Month,1,50
8015436,"SAP Access Violation Management by Pathlock, risk assessment cloud edition",100,Resource,502,USD,Month,51,250
8015436,"SAP Access Violation Management by Pathlock, risk assessment cloud edition",100,Resource,434,USD,Month,251,Infinite
8015437,"SAP Enterprise Threat Detection, cloud edition",100,Resource,997,USD,Month,1,20
8015437,"SAP Enterprise Threat Detection, cloud edition",100,Resource,319,USD,Month,21,150
8015437,"SAP Enterprise Threat Detection, cloud edition",100,Resource,187,USD,Month,151,300
8015437,"SAP Enterprise Threat Detection, cloud edition",100,Resource,160,USD,Month,301,600
8015437,"SAP Enterprise Threat Detection, cloud edition",100,Resource,141,USD,Month,601,1500
8015452,"SAP Cloud Identity Access Governance, standard edition","1,000",Resource,"8,681.00",USD,Month,1,5
8015452,"SAP Cloud Identity Access Governance, standard edition","1,000",Resource,"5,871.00",USD,Month,6,15
8015452,"SAP Cloud Identity Access Governance, standard edition","1,000",Resource,"5,765.00",USD,Month,16,75
8015452,"SAP Cloud Identity Access Governance, standard edition","1,000",Resource,"4,989.00",USD,Month,76,125
